ts,u_predict,t_,V
0.0,-54.98581185489054,0.0,-55.9461005
0.02,-55.7150674457521,0.02,-55.82087114
0.04,-55.86126305698444,0.04,-55.82087114
0.06,-55.72649252568307,0.06,-55.19472808
0.08,-55.468012261824626,0.08,-54.881654680000004
0.1,-55.163168257650554,0.1,-54.568581280000004
0.12,-54.84890508626982,0.12,-54.19289321
0.14,-54.541998696595826,0.14,-54.16158587
0.16,-54.24912475554079,0.16,-54.00504917
0.18,-53.97194771119159,0.18,-53.66067216
0.2,-53.709752552250436,0.2,-53.59805748
0.22,-53.460822297680906,0.22,-53.0658327
0.24,-53.22315232799794,0.24,-53.0658327
0.26,-52.994805564508695,0.26,-53.03452536
0.28,-52.774071774007226,0.28,-52.78406665
0.3,-52.55952147464215,0.3,-52.56491527
0.32,-52.35000536211611,0.32,-52.18922719
0.34,-52.14462789663169,0.34,-52.09530517
0.36,-51.94271088419963,0.36,-51.907464860000005
0.38,-51.74375547940342,0.38,-51.75092816
0.4,-51.54740678228906,0.4,-51.31262541
0.42,-51.353422805619275,0.42,-51.15608871
0.44,-51.16164828608312,0.44,-50.999552009999995
0.46,-50.97199314741955,0.45999999999999996,-50.78040063
0.48,-50.784415121266804,0.48,-50.74909329
0.5,-50.59890593006487,0.5,-50.49863458
0.52,-50.41548043978146,0.52,-50.15425757
0.54,-50.234168243489094,0.5399999999999999,-50.15425757
0.56,-50.05500720908047,0.56,-49.93510619
0.58,-49.87803859927273,0.5800000000000001,-49.84118417
0.6,-49.70330344147537,0.6,-49.80987683
0.62,-49.5308398857495,0.62,-49.653340130000004
0.64,-49.36068134018903,0.64,-49.37157407
0.66,-49.19285521512306,0.6599999999999999,-49.121115360000005
0.68,-49.0273821416218,0.68,-49.05850068
0.7,-48.86427555714248,0.7000000000000001,-48.77673462
0.72,-48.70354157296573,0.72,-48.74542728
0.74,-48.545179055419666,0.74,-48.65150526
0.76,-48.38917986667518,0.76,-48.401050270000006
0.78,-48.23552922187618,0.7799999999999999,-48.338435589999996
0.8,-48.08420612812826,0.8,-48.08797687
0.82,-47.93518387789332,0.8200000000000001,-48.08797687
0.84,-47.78843057499968,0.84,-47.90013283
0.86,-47.64390967604781,0.86,-47.77490348
0.88,-47.5015805337152,0.88,-47.7122888
0.9,-47.36139893149867,0.8999999999999999,-47.5557521
0.92,-47.2233176019093,0.9199999999999999,-47.3992154
0.94,-47.08728672217613,0.94,-47.27398604
0.96,-46.95325438316901,0.96,-47.086141999999995
0.98,-46.82116702862224,0.9799999999999999,-46.83568329
1.0,-46.69096986284076,1.0,-47.02352732
1.02,-46.56260722597118,1.02,-46.679146589999995
1.04,-46.43602293663825,1.04,-46.679146589999995
1.06,-46.311160602316576,1.06,-46.52261361
1.08,-46.1879638982539,1.0799999999999998,-46.36607692
1.1,-46.06637681609915,1.1,-46.24084756
1.12,-45.9463438836418,1.12,-46.17823288
1.14,-45.82781035724402,1.14,-46.02169618
1.16,-45.710722388665104,1.1600000000000001,-45.77123746
1.18,-45.5950271680416,1.18,-45.67731544
1.2,-45.480673044815674,1.2,-45.58339342
1.22,-45.36760962839098,1.22,-45.27032003
1.24,-45.25578787026741,1.24,-45.239012689999996
1.26,-45.14516012934813,1.26,-45.05116865
1.28,-45.03568022204804,1.28,-44.95724663
1.3,-44.92730345874783,1.3,-44.92593929
1.32,-44.81998666805528,1.3199999999999998,-44.86332461
1.34,-44.713688210242495,1.34,-44.738098980000004
1.36,-44.608367981132275,1.36,-44.5189476
1.38,-44.50398740761479,1.38,-44.29979622
1.4,-44.4005094358818,1.4000000000000001,-44.14325953
1.42,-44.29789851337411,1.42,-44.080644850000006
1.44,-44.19612056535205,1.44,-43.98672283
1.46,-44.095142966915446,1.46,-44.01803017
1.48,-43.99493451121715,1.48,-43.76757145
1.5,-43.89546537454392,1.5,-43.86149347
1.52,-43.796707078866845,1.52,-43.73626411
1.54,-43.69863245239644,1.54,-43.48580539
1.56,-43.60121558862319,1.5599999999999998,-43.45449805
1.58,-43.5044318042611,1.58,-43.26665401
1.6,-43.40825759647045,1.6,-43.20403934
1.62,-43.312670599679436,1.6199999999999999,-43.07880998
1.64,-43.21764954229134,1.6400000000000001,-42.98488796
1.66,-43.12317420351907,1.66,-42.922277
1.68,-43.02922537055842,1.68,-42.671818290000004
1.7,-42.93578479627787,1.7,-42.671818290000004
1.72,-42.842835157574754,1.72,-42.51528159
1.74,-42.75036001452547,1.74,-42.57789627
1.76,-42.658343770431046,1.76,-42.39005223
1.78,-42.56677163284321,1.78,-42.20220819
1.8,-42.47562957563561,1.7999999999999998,-42.170900849999995
1.82,-42.38490430217122,1.82,-42.07697883
