ts,u_predict,t_,V
0.0,-55.003669224139834,0.0,-55.9461005
0.02,-54.81777205614075,0.02,-55.82087114
0.04,-54.631782832733585,0.04,-55.82087114
0.06,-54.445785787326635,0.06,-55.19472808
0.08,-54.25986371703642,0.08,-54.881654680000004
0.1,-54.07409789699313,0.1,-54.568581280000004
0.12,-53.88856798717587,0.12,-54.19289321
0.14,-53.70335193394357,0.14,-54.16158587
0.16,-53.518525868264014,0.16,-54.00504917
0.18,-53.33416400248492,0.18,-53.66067216
0.2,-53.1503385273356,0.2,-53.59805748
0.22,-52.967119510697565,0.22,-53.0658327
0.24,-52.784574799535186,0.24,-53.0658327
0.26,-52.60276992623087,0.26,-53.03452536
0.28,-52.42176802043081,0.28,-52.78406665
0.3,-52.241629727366636,0.3,-52.56491527
0.32,-52.06241313348426,0.32,-52.18922719
0.34,-51.88417370008083,0.34,-52.09530517
0.36,-51.70696420552131,0.36,-51.907464860000005
0.38,-51.530834696487524,0.38,-51.75092816
0.4,-51.355832448589915,0.4,-51.31262541
0.42,-51.18200193656467,0.42,-51.15608871
0.44,-51.00938481416983,0.44,-50.999552009999995
0.46,-50.838019903795974,0.45999999999999996,-50.78040063
0.48,-50.66794319571188,0.48,-50.74909329
0.5,-50.49918785678228,0.5,-50.49863458
0.52,-50.33178424841439,0.52,-50.15425757
0.54,-50.16575995341909,0.5399999999999999,-50.15425757
0.56,-50.001139811411996,0.56,-49.93510619
0.58,-49.83794596231983,0.5800000000000001,-49.84118417
0.6,-49.6761978975159,0.6,-49.80987683
0.62,-49.51591251806335,0.62,-49.653340130000004
0.64,-49.3571041995177,0.64,-49.37157407
0.66,-49.199784862711375,0.6599999999999999,-49.121115360000005
0.68,-49.04396404992914,0.68,-49.05850068
0.7,-48.88964900587005,0.7000000000000001,-48.77673462
0.72,-48.736844762788046,0.72,-48.74542728
0.74,-48.585554229205705,0.74,-48.65150526
0.76,-48.43577828160034,0.76,-48.401050270000006
0.78,-48.28751585847626,0.7799999999999999,-48.338435589999996
0.8,-48.140764056251875,0.8,-48.08797687
0.82,-47.99551822640961,0.8200000000000001,-48.08797687
0.84,-47.85177207338324,0.84,-47.90013283
0.86,-47.70951775268038,0.86,-47.77490348
0.88,-47.568745968768575,0.88,-47.7122888
0.9,-47.42944607228454,0.8999999999999999,-47.5557521
0.92,-47.291606156156085,0.9199999999999999,-47.3992154
0.94,-47.155213150262135,0.94,-47.27398604
0.96,-47.02025291428736,0.96,-47.086141999999995
0.98,-46.8867103284637,0.9799999999999999,-46.83568329
1.0,-46.754569381922785,1.0,-47.02352732
1.02,-46.6238132584187,1.02,-46.679146589999995
1.04,-46.49442441921082,1.04,-46.679146589999995
1.06,-46.36638468292892,1.06,-46.52261361
1.08,-46.23967530227322,1.0799999999999998,-46.36607692
1.1,-46.114277037429424,1.1,-46.24084756
1.12,-45.99017022610854,1.12,-46.17823288
1.14,-45.86733485014434,1.14,-46.02169618
1.16,-45.74575059860762,1.1600000000000001,-45.77123746
1.18,-45.625396927416226,1.18,-45.67731544
1.2,-45.506253115444316,1.2,-45.58339342
1.22,-45.388298317147154,1.22,-45.27032003
1.24,-45.271511611741154,1.24,-45.239012689999996
1.26,-45.15587204898839,1.26,-45.05116865
1.28,-45.041358691652654,1.28,-44.95724663
1.3,-44.92795065470286,1.3,-44.92593929
1.32,-44.81562714135152,1.3199999999999998,-44.86332461
1.34,-44.70436747602427,1.34,-44.738098980000004
1.36,-44.594151134363564,1.36,-44.5189476
1.38,-44.484957770375495,1.38,-44.29979622
1.4,-44.37676724083429,1.4000000000000001,-44.14325953
