ts,u_predict,t_,V
0.0,-55.008819672734504,0.0,-55.9461005
0.02,-53.51505120735892,0.02,-55.82087114
0.04,-53.35631905492333,0.04,-55.82087114
0.06,-53.30017056858034,0.06,-55.19472808
0.08,-53.256255824826496,0.08,-54.881654680000004
0.1,-53.21722101656714,0.1,-54.568581280000004
0.12,-53.1804370643121,0.12,-54.19289321
0.14,-53.14253709280375,0.14,-54.16158587
0.16,-53.10005337823827,0.16,-54.00504917
0.18,-53.049866054906474,0.18,-53.66067216
0.2,-52.9892733358798,0.2,-53.59805748
0.22,-52.91597893568404,0.22,-53.0658327
0.24,-52.82812670955349,0.24,-53.0658327
0.26,-52.72439306084868,0.26,-53.03452536
0.28,-52.60410114588561,0.28,-52.78406665
0.3,-52.46731112327389,0.3,-52.56491527
0.32,-52.314848902653054,0.32,-52.18922719
0.34,-52.14825397330766,0.34,-52.09530517
0.36,-51.96964867680754,0.36,-51.907464860000005
0.38,-51.78155019168099,0.38,-51.75092816
0.4,-51.5866573624493,0.4,-51.31262541
0.42,-51.387645490974734,0.42,-51.15608871
0.44,-51.18699508666869,0.44,-50.999552009999995
0.46,-50.98686929246496,0.45999999999999996,-50.78040063
0.48,-50.78904335808554,0.48,-50.74909329
0.5,-50.59488089376482,0.5,-50.49863458
0.52,-50.405346733580274,0.52,-50.15425757
0.54,-50.221044729867586,0.5399999999999999,-50.15425757
0.56,-50.042269666637694,0.56,-49.93510619
0.58,-49.86906459957668,0.5800000000000001,-49.84118417
0.6,-49.70127741525464,0.6,-49.80987683
0.62,-49.53861269743051,0.62,-49.653340130000004
0.64,-49.38067683173741,0.64,-49.37157407
0.66,-49.22701561098117,0.6599999999999999,-49.121115360000005
0.68,-49.077144472894275,0.68,-49.05850068
0.7,-48.93057200723708,0.7000000000000001,-48.77673462
0.72,-48.78681761211831,0.72,-48.74542728
0.74,-48.64542424913447,0.74,-48.65150526
0.76,-48.50596721193679,0.76,-48.401050270000006
0.78,-48.36805973185822,0.7799999999999999,-48.338435589999996
0.8,-48.23135612954229,0.8,-48.08797687
0.82,-48.09555310301998,0.8200000000000001,-48.08797687
0.84,-47.96038963158503,0.84,-47.90013283
0.86,-47.825645876621365,0.86,-47.77490348
0.88,-47.691141377132766,0.88,-47.7122888
0.9,-47.55673276895862,0.8999999999999999,-47.5557521
0.92,-47.42231120124334,0.9199999999999999,-47.3992154
0.94,-47.28779957993078,0.94,-47.27398604
0.96,-47.15314973399458,0.96,-47.086141999999995
0.98,-47.018339574031046,0.9799999999999999,-46.83568329
1.0,-46.88337029312407,1.0,-47.02352732
1.02,-46.74826364519707,1.02,-46.679146589999995
1.04,-46.61305932523448,1.04,-46.679146589999995
1.06,-46.47781246787328,1.06,-46.52261361
1.08,-46.34259127518208,1.0799999999999998,-46.36607692
1.1,-46.20747478038089,1.1,-46.24084756
1.12,-46.072550751356886,1.12,-46.17823288
1.14,-45.93791373575715,1.14,-46.02169618
1.16,-45.80366324793629,1.1600000000000001,-45.77123746
1.18,-45.669902096912494,1.18,-45.67731544
1.2,-45.53673485361531,1.2,-45.58339342
1.22,-45.40426645500019,1.22,-45.27032003
1.24,-45.27260094199416,1.24,-45.239012689999996
1.26,-45.14184032770082,1.26,-45.05116865
1.28,-45.01208359180092,1.28,-44.95724663
1.3,-44.88342579663535,1.3,-44.92593929
1.32,-44.755957320052815,1.3199999999999998,-44.86332461
1.34,-44.62976319974112,1.34,-44.738098980000004
1.36,-44.504922583454714,1.36,-44.5189476
1.38,-44.38150827929726,1.38,-44.29979622
1.4,-44.25958640003024,1.4000000000000001,-44.14325953
1.42,-44.139216095257,1.42,-44.080644850000006
1.44,-44.020449365272604,1.44,-43.98672283
1.46,-43.9033309503822,1.46,-44.01803017
1.48,-43.78789828956065,1.48,-43.76757145
1.5,-43.674181542456544,1.5,-43.86149347
1.52,-43.562203668923324,1.52,-43.73626411
1.54,-43.45198056048412,1.54,-43.48580539
1.56,-43.34352121839232,1.5599999999999998,-43.45449805
1.58,-43.23682797323412,1.58,-43.26665401
1.6,-43.13189674131253,1.6,-43.20403934
1.62,-43.02871731336193,1.6199999999999999,-43.07880998
